DEPTH,CALI,DENC,DENS,DTC,GR,NEUT,SP
2788.0,19.6945,0.0953,2.148,91.8508,12.9457,0.3542,201.4468
2788.5,20.0942,0.1191,2.117,95.8119,13.2553,0.3915,201.3904
2789.0,20.6438,0.1083,2.065,98.0938,13.2829,0.4263,201.2674
2789.5,20.444,0.0801,2.02,97.6833,13.001,0.4419,201.2674
2790.0,20.444,0.0411,1.978,97.6402,12.7136,0.4456,201.1659
2790.5,21.2934,0.0389,1.937,99.0414,12.3377,0.455,200.9678
2791.0,21.843,0.0411,1.863,101.4569,11.5859,0.4727,200.5758
2791.5,22.1428,0.0368,1.799,102.3725,11.0995,0.4611,200.1188
2792.0,21.6931,0.0389,1.801,101.0912,11.1271,0.4305,200.0769
2792.5,19.2948,0.0173,1.934,98.2243,11.1437,0.3719,200.3185
2793.0,17.9956,-0.0022,2.053,95.3514,11.2874,0.3668,200.42
2793.5,17.8458,0.0086,2.089,94.2231,10.9447,0.3803,200.2865
2794.0,17.7958,0.0064,2.097,95.0878,11.1713,0.3986,200.0661
2794.5,17.6459,0.0389,2.099,96.5891,11.8844,0.3809,199.8343
2795.0,17.6459,0.0086,2.106,97.2327,12.5367,0.3623,199.6355
2795.5,17.6459,0.0108,2.119,95.9419,13.0121,0.3507,199.6395
2796.0,17.7458,0.0021,2.119,93.4988,13.4653,0.3487,200.0078
2796.5,17.8458,0.0129,2.114,92.0008,14.0623,0.3473,200.5495
2797.0,17.8458,-0.0001,2.098,92.4388,14.9965,0.3514,200.9074
2797.5,17.9457,-0.0022,2.108,94.4646,16.3507,0.3412,201.0017
2798.0,17.8458,0.0129,2.127,97.1261,16.699,0.33,201.0149
2798.5,17.8458,0.0324,2.131,98.763,16.0412,0.3347,201.1025
2799.0,17.8957,0.0173,2.144,98.6843,15.3392,0.3363,201.1901
2799.5,18.0456,0.0108,2.156,98.1516,13.9297,0.3326,201.103
2800.0,18.1455,0.0173,2.148,98.317,12.9745,0.3426,201.007
2800.5,18.2455,0.0129,2.147,98.9402,12.6561,0.3554,201.0059
2801.0,18.2455,0.0108,2.136,99.5107,12.9347,0.3428,201.08
2801.5,18.2954,-0.0282,2.145,100.0403,14.2679,0.3286,201.2176
2802.0,18.3954,-0.0412,2.171,99.9871,14.2281,0.3418,201.1965
2802.5,18.4953,-0.0304,2.166,99.1262,14.8601,0.3581,201.0575
2803.0,18.5453,-0.0391,2.168,97.5068,16.1509,0.3683,200.9388
2803.5,18.6452,-0.0239,2.162,96.1777,16.7236,0.3568,200.8179
2804.0,18.7451,-0.0326,2.141,96.1141,16.8366,0.3556,200.7231
2804.5,18.7951,-0.0391,2.14,97.0285,17.0679,0.3456,200.6315
2805.0,18.945,-0.0282,2.146,97.9429,17.3798,0.3402,200.3667
2805.5,18.995,-0.0044,2.16,98.2808,17.3072,0.3473,200.0147
2806.0,19.0449,0.0064,2.154,98.0464,17.7751,0.3532,199.8252
2806.5,19.0449,0.0021,2.146,97.618,18.1542,0.3697,199.8139
2807.0,19.1948,-0.0174,2.139,97.6717,18.6598,0.3849,199.9852
